"ref_area","ref_area.label","source","source.label","indicator","indicator.label","sex","sex.label","classif1","classif1.label","classif2","classif2.label","time","obs_value","obs_status","obs_status.label","note_classif.label","note_indicator.label","note_source.label","ilo_sample_count","ACRO","freq_code","latest_period","best_source","MAPPING"
"AFG","Afghanistan","BA:15715","AFG - LFS - Labour Force Survey","EMP_TEM2_SEX_EC4_IFL_NB","Employment by sex, economic activity ISIC4 and formal vs informal employment (Thousands), aggregate","SEX_T","Sex: Total","EC4_MEDIAISIC_TOTAL","EC4_MEDIAISIC_TOTAL","IFL_NATURE_TOTAL","Nature of job: Total","2021",7679.474,,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None | Data reference period: First quarter",8370,"LFS","m",1,1,
"AFG","Afghanistan","BA:15715","AFG - LFS - Labour Force Survey","EMP_TEM2_SEX_EC4_IFL_NB","Employment by sex, economic activity ISIC4 and formal vs informal employment (Thousands), aggregate","SEX_T","Sex: Total","EC4_MEDIAISIC_TOTAL","EC4_MEDIAISIC_TOTAL","IFL_NATURE_INFORMAL","Nature of job: Persons with informal main job","2021",6613.952,,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None | Data reference period: First quarter",7355,"LFS","m",1,1,
"AFG","Afghanistan","BA:15715","AFG - LFS - Labour Force Survey","EMP_TEM2_SEX_EC4_IFL_NB","Employment by sex, economic activity ISIC4 and formal vs informal employment (Thousands), aggregate","SEX_T","Sex: Total","EC4_MEDIAISIC_TOTAL","EC4_MEDIAISIC_TOTAL","IFL_NATURE_FORMAL","Nature of job: Persons with formal main job","2021",1065.522,,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None | Data reference period: First quarter",1015,"LFS","m",1,1,
"AFG","Afghanistan","BA:15715","AFG - LFS - Labour Force Survey","EMP_TEM2_SEX_EC4_IFL_NB","Employment by sex, economic activity ISIC4 and formal vs informal employment (Thousands), aggregate","SEX_T","Sex: Total","EC4_MEDIAISIC_YES","EC4_MEDIAISIC_YES","IFL_NATURE_TOTAL","Nature of job: Total","2021",10.923,"U","Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None | Data reference period: First quarter",5,"LFS","m",1,1,
"AFG","Afghanistan","BA:15715","AFG - LFS - Labour Force Survey","EMP_TEM2_SEX_EC4_IFL_NB","Employment by sex, economic activity ISIC4 and formal vs informal employment (Thousands), aggregate","SEX_T","Sex: Total","EC4_MEDIAISIC_YES","EC4_MEDIAISIC_YES","IFL_NATURE_INFORMAL","Nature of job: Persons with informal main job","2021",,"U","Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None | Data reference period: First quarter",2,"LFS","m",1,1,
"AFG","Afghanistan","BA:15715","AFG - LFS - Labour Force Survey","EMP_TEM2_SEX_EC4_IFL_NB","Employment by sex, economic activity ISIC4 and formal vs informal employment (Thousands), aggregate","SEX_T","Sex: Total","EC4_MEDIAISIC_YES","EC4_MEDIAISIC_YES","IFL_NATURE_FORMAL","Nature of job: Persons with formal main job","2021",,"U","Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None | Data reference period: First quarter",3,"LFS","m",1,1,
"AFG","Afghanistan","BA:15715","AFG - LFS - Labour Force Survey","EMP_TEM2_SEX_EC4_IFL_NB","Employment by sex, economic activity ISIC4 and formal vs informal employment (Thousands), aggregate","SEX_T","Sex: Total","EC4_MEDIAISIC_NO","EC4_MEDIAISIC_NO","IFL_NATURE_TOTAL","Nature of job: Total","2021",7668.551,,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None | Data reference period: First quarter",8365,"LFS","m",1,1,
"AFG","Afghanistan","BA:15715","AFG - LFS - Labour Force Survey","EMP_TEM2_SEX_EC4_IFL_NB","Employment by sex, economic activity ISIC4 and formal vs informal employment (Thousands), aggregate","SEX_T","Sex: Total","EC4_MEDIAISIC_NO","EC4_MEDIAISIC_NO","IFL_NATURE_INFORMAL","Nature of job: Persons with informal main job","2021",6607.736,,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None | Data reference period: First quarter",7353,"LFS","m",1,1,
"AFG","Afghanistan","BA:15715","AFG - LFS - Labour Force Survey","EMP_TEM2_SEX_EC4_IFL_NB","Employment by sex, economic activity ISIC4 and formal vs informal employment (Thousands), aggregate","SEX_T","Sex: Total","EC4_MEDIAISIC_NO","EC4_MEDIAISIC_NO","IFL_NATURE_FORMAL","Nature of job: Persons with formal main job","2021",1060.815,,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None | Data reference period: First quarter",1012,"LFS","m",1,1,
"AFG","Afghanistan","BA:15715","AFG - LFS - Labour Force Survey","EMP_TEM2_SEX_EC4_IFL_NB","Employment by sex, economic activity ISIC4 and formal vs informal employment (Thousands), aggregate","SEX_M","Sex: Male","EC4_MEDIAISIC_TOTAL","EC4_MEDIAISIC_TOTAL","IFL_NATURE_TOTAL","Nature of job: Total","2021",5850.428,,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None | Data reference period: First quarter",6245,"LFS","m",1,1,
